Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Non-Candidate Issue Ads,Arizonans For Affordable Electricity,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizonans For Affordable Electricity,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Vote Vets Action Fund - Majority Forward,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Vote Vets Action Fund - Majority Forward,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Majority Forward,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy,,KSAZ-TV
2018,,Non-Candidate Issue Ads,DCCC,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Defend Arizona,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Defend Arizona,,KSAZ-TV
2018,,Non-Candidate Issue Ads,House Majority PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/House Majority PAC,,KSAZ-TV
2018,,Non-Candidate Issue Ads,DSCC,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC,,KSAZ-TV
2018,,Non-Candidate Issue Ads,NRCC-IE,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/NRCC-IE,,KSAZ-TV
2018,,State,Steve Gaynor for AZ SOS,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/Steve Gaynor for AZ SOS,,KSAZ-TV
2018,,State,Kate Gallego for Phoenix Mayor,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/Kate Gallego for Phoenix Mayor,,KSAZ-TV
2018,,State,Doug Ducey for Governor,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/Doug Ducey for Governor,,KSAZ-TV
2018,,State,David Garcia for Governor,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/David Garcia for Governor,,KSAZ-TV
2018,,State,AZ Republican Prty - D Ducey For Governor,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/AZ Republican Prty - D Ducey For Governor,,KSAZ-TV
2018,,State,Kathy Hoffman for Superintendent of Public Education,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/Kathy Hoffman for Superintendent of Public Education,,KSAZ-TV
2018,,State,Mark Brnovich for Attorney General,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/Mark Brnovich for Attorney General,,KSAZ-TV
2018,,State,AZ Republican party - Mark Brnovich for Attorney General,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/AZ Republican party - Mark Brnovich for Attorney General,,KSAZ-TV
2018,,State,Katie Hobbs for Secretary of State,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/Katie Hobbs for Secretary of State,,KSAZ-TV
2018,,State,AZ Democratic Prty Behalf of K Hobbs,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/AZ Democratic Prty Behalf of K Hobbs,,KSAZ-TV
2018,,State,CHISPA AZ PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/CHISPA AZ PAC,,KSAZ-TV
2018,,State,Steve Farley for Governor,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/Steve Farley for Governor,,KSAZ-TV
2018,,State,AZ Dem Party auth January for AG,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/AZ Dem Party auth January for AG,,KSAZ-TV
2018,,Federal,SINEMA,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/Federal/US Senate/SINEMA,,KTAZ
2018,,Non-Candidate Issue Ads,PFAW,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/Non-Candidate Issue Ads/PFAW,,KTAZ
2018,,Non-Candidate Issue Ads,INVEST IN EDUCATION COMMITTEE,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/Non-Candidate Issue Ads/INVEST IN EDUCATION COMMITTEE,,KTAZ
2018,,Non-Candidate Issue Ads,LATINO VOTE,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/Non-Candidate Issue Ads/LATINO VOTE,,KTAZ
2018,,Non-Candidate Issue Ads,WOMEN VOTE,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/Non-Candidate Issue Ads/WOMEN VOTE,,KTAZ
2018,,Non-Candidate Issue Ads,AZ EDUCATION ASSOCIATION,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/Non-Candidate Issue Ads/AZ EDUCATION ASSOCIATION,,KTAZ
2018,,Non-Candidate Issue Ads,ACLU,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/Non-Candidate Issue Ads/ACLU,,KTAZ
2018,,State,DOUG DUCEY,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/State/DOUG DUCEY,,KTAZ
2018,,State,DAVID GARCIA,/home/andrew/Documents/PredictiveModeling/TV/stations/KTAZ/Political Files/2018/State/DAVID GARCIA,,KTAZ
2018,,Federal,DSCC SINEMA FOR ARIZONA,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US Senate/DSCC SINEMA FOR ARIZONA,,KTVK
2018,,Federal,MCSALLY FOR US SENATE,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US Senate/MCSALLY FOR US SENATE,,KTVK
2018,,Federal,SINEMA FOR ARIZONA,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US Senate/SINEMA FOR ARIZONA,,KTVK
2018,,Federal,NRSC MCSALLY FOR US SENATE,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US Senate/NRSC MCSALLY FOR US SENATE,,KTVK
2018,AZ 07,Federal,RUBEN GALLEGO US CONGRESS AZ-07,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US House/AZ 07,,KTVK
2018,AZ 09,Federal,GREG STANTON D CONGRESS AZ 09,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US House/AZ 09,,KTVK
2018,AZ 09,Federal,STEVE FERRARA FOR CONGRESS AZ 09,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US House/AZ 09,,KTVK
