Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,State,Garcia for Governor - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Garcia for Governor - GENERAL ELECTION,,KNXV-TV
2018,,State,Garcia for Governor - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Garcia for Governor - PRIMARY ELECTION,,KNXV-TV
2018,,State,Gaynor for AZ Secretary of State - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Gaynor for AZ Secretary of State - GENERAL ELECTION,,KNXV-TV
2018,,State,Gaynor for AZ Secretary of State - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Gaynor for AZ Secretary of State - PRIMARY ELECTION,,KNXV-TV
2018,,State,Hoffman Democrat State Superintendent - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Hoffman Democrat State Superintendent - GENERAL ELECTION,,KNXV-TV
2018,,State,Lieberman Democrat State House District 28,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Lieberman Democrat State House District 28,,KNXV-TV
2018,,State,Manoil Democrat State Treasurer - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Manoil Democrat State Treasurer - GENERAL ELECTION,,KNXV-TV
2018,,State,Manoil Democrat State Treasurer - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Manoil Democrat State Treasurer - PRIMARY ELECTION,,KNXV-TV
2018,,Federal,DSCC-SINEMA FOR ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US Senate/DSCC-SINEMA FOR ARIZONA,,KPHO-TV
2018,,Federal,MCSALLY FOR SENATE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US Senate/MCSALLY FOR SENATE,,KPHO-TV
2018,,Federal,NRSC MCSALLY FOR SENATE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US Senate/NRSC MCSALLY FOR SENATE,,KPHO-TV
2018,,Federal,SINEMA FOR ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US Senate/SINEMA FOR ARIZONA,,KPHO-TV
