Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity  26104684 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity  26104684.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104685 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104685.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104688 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104688.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104690 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104690.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104691 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104691.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106043 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106043.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106061 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106061.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106070 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106070.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106075 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106075.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106084 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106084.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona 26105969 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona 26105969.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona 26105972 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona 26105972.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona 26105976 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona 26105976.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona 26105977 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona 26105977.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Clean Energy for a Healthy Arizona NAB form.pdf,File not OCRd
