Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC/45 Committee 26229570.pdf,ordersScraping or Timeout Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac/AFSCME People 26034946.pdf,ordersScraping or Timeout Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac/AFSCME People NAB 26034946.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party/AZ Rep Party 26211631.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party/AZ Rep Party 26211632.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party/AZ Rep Party NAB 26211631.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity  26104684 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity  26104684.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104685 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104685.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104688 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104688.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104690 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104690.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104691 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26104691.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106043 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106043.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106061 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106061.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106070 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity/Arizonans for Affordable Electricity 26106070.pdf,contracts Success
